wind_speed,clouds,day,month,condition_main,condition_description,condition_icon,average_feel,expected_percipitation,pop,zip_code
10.4,2,19,7,Clear,clear sky,01d,64.845,0.0,0.0,98346
9.28,81,20,7,Rain,light rain,10d,60.097500000000004,0.0768,24.0,98346
10.89,44,21,7,Clouds,scattered clouds,03d,58.38249999999999,0.0,0.0,98346
9.31,2,22,7,Clear,clear sky,01d,58.065,0.0,0.0,98346
8.63,4,23,7,Clear,clear sky,01d,59.397499999999994,0.0,0.0,98346
8.93,5,24,7,Clear,clear sky,01d,62.5825,0.0,0.0,98346
8.99,11,25,7,Clouds,few clouds,02d,62.2425,0.0,0.0,98346
9.6,5,26,7,Clear,clear sky,01d,60.102500000000006,0.0,0.0,98346
7.61,60,19,7,Clouds,broken clouds,04d,80.4075,0.0,0.0,99206
10.92,96,20,7,Rain,light rain,10d,75.60500000000002,0.6565000000000001,65.0,99206
11.7,5,21,7,Rain,light rain,10d,72.28,0.48719999999999997,57.99999999999999,99206
9.42,1,22,7,Clear,clear sky,01d,68.19749999999999,0.0,0.0,99206
9.73,2,23,7,Clear,clear sky,01d,72.87,0.0,0.0,99206
3.96,0,24,7,Clear,clear sky,01d,77.05,0.0,0.0,99206
13.69,0,25,7,Clear,clear sky,01d,78.6275,0.0,0.0,99206
10.94,21,26,7,Clouds,few clouds,02d,73.98750000000001,0.0,0.0,99206
6.13,0,19,7,Clear,clear sky,01d,72.095,0.0,0.0,98246
5.97,0,20,7,Clear,clear sky,01d,68.6175,0.0,0.0,98246
7.0,27,21,7,Clouds,scattered clouds,03d,63.9225,0.0,0.0,98246
5.03,0,22,7,Clear,clear sky,01d,65.6375,0.0,0.0,98246
5.01,0,23,7,Clear,clear sky,01d,70.7,0.0,0.0,98246
4.97,0,24,7,Clear,clear sky,01d,76.1625,0.0,0.0,98246
6.67,0,25,7,Clear,clear sky,01d,71.20500000000001,0.0,0.0,98246
5.61,0,26,7,Clear,clear sky,01d,68.3125,0.0,0.0,98246
8.97,90,19,7,Clouds,overcast clouds,04d,81.0875,0.0,0.0,99211
10.98,87,20,7,Rain,light rain,10d,76.725,0.5916,57.99999999999999,99211
12.15,17,21,7,Rain,light rain,10d,73.36000000000001,0.115,50.0,99211
10.89,1,22,7,Clear,clear sky,01d,69.5475,0.0,0.0,99211
10.13,3,23,7,Clear,clear sky,01d,74.3925,0.0,0.0,99211
3.0,0,24,7,Clear,clear sky,01d,78.39750000000001,0.0,0.0,99211
14.34,0,25,7,Clear,clear sky,01d,79.9175,0.0,0.0,99211
11.52,15,26,7,Clouds,few clouds,02d,75.245,0.0,0.0,99211
10.74,60,19,7,Clouds,broken clouds,04d,78.9525,0.0,0.0,99329
12.66,52,20,7,Rain,light rain,10d,75.5775,0.5488000000000001,56.00000000000001,99329
14.14,0,21,7,Clear,clear sky,01d,71.7725,0.0,31.0,99329
10.42,0,22,7,Clear,clear sky,01d,69.295,0.0,0.0,99329
8.88,0,23,7,Clear,clear sky,01d,74.965,0.0,0.0,99329
7.65,0,24,7,Clear,clear sky,01d,80.1675,0.0,0.0,99329
14.83,91,25,7,Clouds,overcast clouds,04d,79.69250000000001,0.0,0.0,99329
13.87,98,26,7,Clouds,overcast clouds,04d,74.39750000000001,0.0,0.0,99329
5.73,0,19,7,Clear,clear sky,01d,62.07,0.0,0.0,98160
6.53,8,20,7,Clear,clear sky,01d,57.245,0.0,1.0,98160
6.51,24,21,7,Clouds,few clouds,02d,54.8825,0.0,0.0,98160
6.87,3,22,7,Clear,clear sky,01d,54.269999999999996,0.0,0.0,98160
6.58,0,23,7,Clear,clear sky,01d,58.455,0.0,0.0,98160
6.8,0,24,7,Clear,clear sky,01d,63.635000000000005,0.0,0.0,98160
5.95,0,25,7,Clear,clear sky,01d,60.197500000000005,0.0,0.0,98160
5.61,28,26,7,Clouds,scattered clouds,03d,56.865,0.0,0.0,98160
12.33,5,19,7,Clear,clear sky,01d,61.162499999999994,0.0,0.0,98280
14.41,4,20,7,Clear,clear sky,01d,57.2875,0.0,0.0,98280
17.36,99,21,7,Clouds,overcast clouds,04d,56.127500000000005,0.0,0.0,98280
15.28,3,22,7,Clear,clear sky,01d,56.0075,0.0,0.0,98280
6.91,5,23,7,Clear,clear sky,01d,56.6875,0.0,0.0,98280
7.92,1,24,7,Clear,clear sky,01d,58.82,0.0,0.0,98280
16.35,5,25,7,Clear,clear sky,01d,57.7,0.0,0.0,98280
10.92,3,26,7,Clear,clear sky,01d,56.2675,0.0,0.0,98280
11.83,100,19,7,Clouds,overcast clouds,04d,78.9,0.0,0.0,99170
14.52,100,20,7,Rain,light rain,10d,74.0825,0.8361999999999999,74.0,99170
15.68,0,21,7,Rain,light rain,10d,71.4925,1.2167999999999999,72.0,99170
17.52,0,22,7,Clear,clear sky,01d,66.91,0.0,0.0,99170
11.79,0,23,7,Clear,clear sky,01d,71.97500000000001,0.0,0.0,99170
6.69,0,24,7,Clear,clear sky,01d,76.88,0.0,0.0,99170
16.53,5,25,7,Clear,clear sky,01d,77.6725,0.0,0.0,99170
12.73,34,26,7,Clouds,scattered clouds,03d,71.705,0.0,0.0,99170
7.36,95,19,7,Clouds,overcast clouds,04d,76.13,0.0,0.0,99148
11.1,19,20,7,Rain,light rain,10d,71.29,0.034999999999999996,35.0,99148
13.13,63,21,7,Clouds,broken clouds,04d,67.4725,0.0,17.0,99148
10.4,1,22,7,Clear,clear sky,01d,62.915000000000006,0.0,0.0,99148
9.35,9,23,7,Clear,clear sky,01d,67.9325,0.0,0.0,99148
5.73,0,24,7,Clear,clear sky,01d,72.0925,0.0,0.0,99148
13.38,0,25,7,Clear,clear sky,01d,73.1975,0.0,0.0,99148
10.13,5,26,7,Clear,clear sky,01d,69.435,0.0,0.0,99148
11.27,1,19,7,Clear,clear sky,01d,66.87,0.0,0.0,98507
9.82,36,20,7,Clouds,scattered clouds,03d,62.21000000000001,0.0,0.0,98507
10.85,24,21,7,Clouds,few clouds,02d,59.637499999999996,0.0,0.0,98507
6.22,6,22,7,Clear,clear sky,01d,62.095,0.0,0.0,98507
6.04,0,23,7,Clear,clear sky,01d,65.61500000000001,0.0,0.0,98507
6.91,0,24,7,Clear,clear sky,01d,69.85,0.0,0.0,98507
10.18,2,25,7,Clear,clear sky,01d,64.71,0.0,0.0,98507
7.94,46,26,7,Clouds,scattered clouds,03d,62.14750000000001,0.0,0.0,98507
6.31,0,19,7,Clear,clear sky,01d,69.34,0.0,0.0,98293
6.96,6,20,7,Clear,clear sky,01d,65.165,0.0,0.0,98293
6.8,52,21,7,Clouds,broken clouds,04d,61.75749999999999,0.0,0.0,98293
6.89,0,22,7,Clear,clear sky,01d,62.8,0.0,0.0,98293
6.22,0,23,7,Clear,clear sky,01d,67.0325,0.0,0.0,98293
6.2,0,24,7,Clear,clear sky,01d,71.53250000000001,0.0,0.0,98293
7.54,2,25,7,Clear,clear sky,01d,67.94,0.0,0.0,98293
6.06,7,26,7,Clear,clear sky,01d,64.5525,0.0,0.0,98293
10.78,0,19,7,Clear,clear sky,01d,64.3725,0.0,0.0,98583
10.47,59,20,7,Clouds,broken clouds,04d,60.55,0.0,0.0,98583
11.3,34,21,7,Clouds,scattered clouds,03d,59.6625,0.0,0.0,98583
10.18,0,22,7,Clear,clear sky,01d,60.56,0.0,0.0,98583
